Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",732,1,-5,11,18,19,16,5,23,1,3,0,1,6,6,12,3,5,0,0,14,2,12,14,6,1
"Smith, Jenkins, Loyer, Gillis, Edey",373,1,15,17,10,7,2,6,7,2,2,3,3,0,5,5,6,0,1,1,10,4,1,5,1,0
"Smith, Newman, Morton, Gillis, Kaufman-Renn",59,1,-2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Jenkins, Newman, Morton, Furst, Edey",191,1,2,6,4,5,4,3,5,0,1,0,0,1,2,3,2,0,0,0,4,0,1,1,1,0
"Jenkins, Loyer, Morton, Furst, Edey",335,1,-2,11,10,11,13,3,7,0,2,5,5,1,2,3,3,0,0,1,7,0,3,3,2,4
"Smith, Newman, Morton, Gillis, Edey",83,1,0,0,3,2,0,0,2,0,0,0,1,0,1,1,0,1,0,0,1,0,2,2,1,0
"Jenkins, Newman, Morton, Gillis, Edey",183,1,-6,3,5,5,9,0,1,0,1,3,3,0,1,1,0,0,1,2,6,1,1,2,0,0
"Smith, Loyer, Morton, Gillis, Edey",10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Smith, Loyer, Newman, Gillis, Edey",30,1,-2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1
"Smith, Loyer, Newman, Furst, Edey",273,1,5,15,8,6,10,5,6,1,1,4,4,0,2,2,3,0,0,0,4,0,1,1,0,3
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",102,1,-1,1,4,3,2,0,1,0,0,1,1,0,2,2,0,0,0,2,3,0,1,1,0,0
"Jenkins, Loyer, Newman, Furst, Edey",9,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Morton, Loyer, Newman, Furst, Edey",20,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
