Lineups,Games Played,Minutes Played,plus_minus,PUR PTS,PUR POSS,PUR FG%,PUR 3P%,PUR FT%,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP PTS,OPP POSS
"Smith, Loyer, Morton, Furst, Edey",20,227,56,392,359,44.64,36.79,73.61,73,150,223,92,27,24,56,336,365
"Smith, Loyer, Morton, Kaufman-Renn, Edey",3,17,5,36,31,60.0,25.0,100.0,1,10,11,7,2,0,6,31,28
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",6,16,7,25,26,37.93,18.18,100.0,9,12,21,6,1,0,5,18,23
"Jenkins, Newman, Waddell, Furst, Kaufman-Renn",3,8,10,21,13,70.0,100.0,100.0,0,5,5,4,1,0,1,11,14
"Smith, Newman, Waddell, Furst, Kaufman-Renn",1,2,0,5,5,50.0,0.0,50.0,0,0,0,1,1,0,0,5,3
"Smith, Morton, Waddell, Furst, Edey",1,0,0,0,1,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
"Smith, Loyer, Morton, Waddell, Edey",1,1,-2,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,2,1
"Smith, Loyer, Newman, Kaufman-Renn, Edey",5,9,8,18,15,50.0,0.0,85.71,1,7,8,5,0,1,0,10,15
"Jenkins, Loyer, Newman, Waddell, Edey",1,0,-2,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,2,1
"Jenkins, Newman, Morton, Waddell, Edey",1,1,-3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1
"Jenkins, Loyer, Newman, Furst, Edey",6,9,-5,13,15,36.36,20.0,80.0,3,5,8,2,1,3,3,18,15
"Smith, Newman, Waddell, Kaufman-Renn, Edey",1,1,1,1,3,0.0,0.0,100.0,0,1,1,0,0,0,1,0,2
"Smith, Newman, Morton, Furst, Kaufman-Renn",2,5,-4,3,7,0.0,0.0,100.0,0,4,4,0,0,1,0,7,9
"Jenkins, Morton, Waddell, Kaufman-Renn, Edey",1,0,1,1,1,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0
"Jenkins, Morton, Waddell, Furst, Kaufman-Renn",2,3,-3,7,4,75.0,0.0,50.0,1,2,3,1,0,0,0,10,6
"Smith, Jenkins, Newman, Kaufman-Renn, Edey",2,5,3,10,8,42.86,0.0,100.0,1,5,6,2,0,0,0,7,9
"Jenkins, Morton, Waddell, Furst, Edey",1,1,2,2,1,100.0,0.0,0.0,0,1,1,0,0,0,0,0,1
"Jenkins, Loyer, Morton, Furst, Edey",9,28,3,43,43,40.0,10.0,83.33,11,19,30,11,0,0,7,40,44
"Jenkins, Newman, Morton, Kaufman-Renn, Edey",1,6,-2,10,9,50.0,33.33,0.0,2,3,5,3,1,2,1,12,10
"Jenkins, Loyer, Newman, Morton, Edey",2,1,-2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1
"Jenkins, Loyer, Waddell, Morton, Edey",1,0,0,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
"Smith, Jenkins, Loyer, Furst, Edey",2,6,-3,4,7,40.0,0.0,0.0,1,3,4,1,1,0,2,7,7
"Smith, Loyer, Newman, Morton, Edey",2,12,-4,15,18,27.27,0.0,75.0,3,7,10,1,1,3,4,19,21
"Smith, Newman, Morton, Furst, Edey",6,11,-2,16,18,27.27,0.0,76.92,3,8,11,2,2,0,3,18,21
"Smith, Newman, Morton, Gills, Kaufman-Renn",1,3,3,5,3,25.0,100.0,100.0,2,0,2,1,0,1,0,2,2
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",10,21,-8,37,36,48.15,25.0,80.0,3,8,11,4,1,0,7,45,34
"Jenkins, Loyer, Morton, Gillis, Edey",3,5,-3,2,9,16.67,0.0,0.0,3,4,7,1,1,2,6,5,8
"Smith, Loyer, Morton, Gillis, Edey",17,108,53,214,181,51.3,40.98,73.81,28,72,100,48,14,15,31,161,177
"Smith, Loyer, Newman, Furst, Kaufman-Renn",4,10,10,26,19,64.29,62.5,60.0,1,4,5,6,6,1,3,16,18
"Smith, Loyer, Morton, Furst, Kaufman-Renn",3,8,2,15,11,66.67,75.0,0.0,1,6,7,4,0,2,3,13,15
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",6,7,1,12,11,57.14,0.0,100.0,0,3,3,2,1,0,2,11,12
"Smith, Loyer, Newman, Gillis, Edey",9,48,-2,78,84,41.79,22.22,50.0,17,18,35,15,9,4,17,80,78
"Smith, Jenkins, Newman, Gillis, Edey",11,19,0,30,30,37.93,25.0,100.0,6,10,16,6,0,0,4,30,28
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",8,17,5,33,27,40.91,50.0,68.75,6,9,15,2,4,1,2,28,28
"Smith, Jenkins, Morton, Furst, Kaufman-Renn",4,4,-5,4,6,40.0,0.0,0.0,1,3,4,1,0,1,0,9,9
"Jenkins, Loyer, Newman, Gillis, Edey",10,24,12,46,46,48.48,50.0,64.29,6,20,26,8,4,2,11,34,44
"Jenkins, Newman, Morton, Furst, Edey",5,12,0,19,17,47.06,14.29,40.0,5,4,9,5,2,0,2,19,18
"Smith, Newman, Morton, Gillis, Edey",8,16,-2,25,25,38.1,25.0,63.64,4,9,13,6,2,1,2,27,25
"Smith, Jenkins, Morton, Gillis, Edey",5,14,0,29,24,52.63,58.33,100.0,1,8,9,8,2,0,5,29,27
"Smith, Jenkins, Loyer, Furst, Kaufman-Renn",2,4,-5,6,6,50.0,66.67,0.0,1,2,3,2,0,0,2,11,7
"Smith, Jenkins, Morton, Gillis, Kaufman-Renn",4,9,-4,12,13,44.44,20.0,75.0,0,5,5,2,3,0,2,16,16
"Smith, Loyer, Newman, Furst, Edey",8,18,13,42,31,51.85,42.86,91.67,5,10,15,11,2,2,2,29,28
"Smith, Newman, Morton, Gillis, Kaufman-Renn",3,4,-5,5,6,40.0,0.0,100.0,1,0,1,1,1,0,1,10,6
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",7,12,8,18,20,50.0,40.0,100.0,0,8,8,3,2,0,5,10,19
"Jenkins, Newman, Morton, Gillis, Edey",5,8,-12,6,12,20.0,0.0,80.0,0,6,6,0,0,1,3,18,15
"Smith, Jenkins, Loyer, Gillis, Edey",3,7,22,26,15,81.82,75.0,100.0,0,5,5,9,0,1,1,4,9
"Morton, Loyer, Newman, Furst, Edey",1,0,-2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1
"Smith, Jenkins, Newman, Furst, Edey",6,10,-2,20,16,46.15,33.33,85.71,4,4,8,4,0,1,3,22,16
"Jenkins, Newman, Morton, Gillis, Kaufman-Renn",3,4,-1,5,7,33.33,33.33,0.0,2,3,5,1,0,0,2,6,6
"Jenkins, Newman, Waddell, Gillis, Kaufman-Renn",2,4,-3,3,4,25.0,100.0,0.0,2,2,4,1,0,0,2,6,5
"Jenkins, Newman, Barrett, Waddell, Kaufman-Renn",1,1,-4,0,3,0.0,0.0,0.0,0,0,0,0,1,0,0,4,3
"Smith, Loyer, Newman, Morton, Furst",3,1,4,7,4,0.0,0.0,100.0,0,1,1,0,0,0,0,3,3
"Jenkins, Loyer, Morton, Gillis, Kaufman-Renn",4,6,-3,13,12,62.5,0.0,100.0,1,1,2,2,1,0,3,16,10
"Smith, Loyer, Morton, Gillis, Kaufman-Renn",4,8,1,18,13,77.78,66.67,0.0,0,4,4,5,1,0,3,17,12
"Smith, Loyer, Newman, Morton, Gillis",3,0,2,5,4,0.0,0.0,83.33,0,1,1,0,0,0,0,3,2
"Jenkins, Newman, Morton, Gillis, Furst",1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
"Smith, Jenkins, Morton, Furst, Edey",3,6,3,9,9,57.14,33.33,0.0,1,4,5,4,1,0,3,6,8
"Smith, Jenkins, Loyer, Morton, Gillis",1,0,-2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1
"Jenkins, Loyer, Morton, Furst, Kaufman-Renn",3,6,-3,5,9,33.33,0.0,100.0,1,3,4,1,2,0,3,8,11
"Smith, Jenkins, Morton, Kaufman-Renn, Edey",1,1,-1,4,3,100.0,0.0,66.67,0,0,0,1,0,0,0,5,2
"Smith, Jenkins, Newman, Gillis, Furst",1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
"Smith, Newman, Morton, Gillis, Furst",1,0,-2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1
"Smith, Jenkins, Newman, Furst, Kaufman-Renn",2,4,0,5,5,50.0,50.0,0.0,0,2,2,2,1,0,1,5,6
"Martin, Barrett, Waddell, King, Kaufman-Renn",1,2,-2,6,6,75.0,0.0,0.0,0,2,2,1,0,0,2,8,6
"Smith, Jenkins, Loyer, Kaufman-Renn, Edey",1,1,1,1,3,0.0,0.0,100.0,1,2,3,0,0,0,0,0,2
"Jenkins, Loyer, Morton, Kaufman-Renn, Edey",1,1,4,5,2,100.0,100.0,0.0,0,1,1,1,0,0,0,1,3
"Jenkins, Newman, Morton, Furst, Kaufman-Renn",1,0,-1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
